location_id,lga_name,sa4_name,state_name,remoteness_area
L199,Queanbeyan-Palerang Regional,Capital Region,NSW,Major Cities of Australia
L200,Snowy Monaro Regional,Capital Region,NSW,Outer Regional Australia
L201,Federation,Murray,NSW,Outer Regional Australia
L202,,,ACT,
L203,Brisbane,Brisbane Inner City,Qld,Major Cities of Australia
L204,Cowra,Central West,NSW,Inner Regional Australia
L205,Goulburn Mulwaree,Capital Region,NSW,Inner Regional Australia
L206,Gympie,Wide Bay,Qld,Inner Regional Australia
L207,Moreton Bay,Moreton Bay - South,Qld,Major Cities of Australia
L208,Willoughby,Sydney - North Sydney and Hornsby,NSW,Major Cities of Australia
L209,Shoalhaven,Capital Region,NSW,Inner Regional Australia
L210,Queanbeyan-Palerang Regional,Capital Region,NSW,Inner Regional Australia
L211,Nillumbik,Melbourne - North East,Vic,Inner Regional Australia
L212,Wollongong,Illawarra,NSW,Inner Regional Australia
L213,South Burnett,Wide Bay,Qld,Inner Regional Australia
L214,Tatiara,South Australia - South East,SA,Remote Australia
L215,Tweed,Richmond - Tweed,NSW,Inner Regional Australia
L216,Mid-Coast,Mid North Coast,NSW,Outer Regional Australia
L217,Ararat,North West,Vic,Inner Regional Australia
L218,Colac Otway,Warrnambool and South West,Vic,Inner Regional Australia
L219,McKinlay,Queensland - Outback,Qld,Very Remote Australia
L220,Singleton,Hunter Valley exc Newcastle,NSW,Inner Regional Australia
L221,Gladstone,Central Queensland,Qld,Outer Regional Australia
L222,Lithgow,Central West,NSW,Inner Regional Australia
L223,Campbelltown,Sydney - Outer South West,NSW,Major Cities of Australia
L224,Sunshine Coast,Sunshine Coast,Qld,Major Cities of Australia
L225,Warrumbungle,Far West and Orana,NSW,Outer Regional Australia
L226,Noosa,Sunshine Coast,Qld,Major Cities of Australia
L227,Port Stephens,Newcastle and Lake Macquarie,NSW,Major Cities of Australia
L228,Moreton Bay,Moreton Bay - North,Qld,Major Cities of Australia
L229,Gawler,Adelaide - North,SA,Major Cities of Australia
L230,Alpine,Hume,Vic,Inner Regional Australia
L231,Cabonne,Central West,NSW,Inner Regional Australia
L232,Brisbane,Ipswich,Qld,Major Cities of Australia
L233,Baw Baw,Latrobe - Gippsland,Vic,Inner Regional Australia
L234,Isaac,Mackay - Isaac - Whitsunday,Qld,Remote Australia
L235,Maranoa,Darling Downs - Maranoa,Qld,Remote Australia
L236,Southern Grampians,Warrnambool and South West,Vic,Outer Regional Australia
L237,Cessnock,Hunter Valley exc Newcastle,NSW,Inner Regional Australia
L238,Scenic Rim,Logan - Beaudesert,Qld,Inner Regional Australia
L239,Somerset,Ipswich,Qld,Inner Regional Australia
L240,Hinchinbrook,Townsville,Qld,Remote Australia
L241,Mackay,Mackay - Isaac - Whitsunday,Qld,Inner Regional Australia
L242,Stonnington,Melbourne - Inner South,Vic,Major Cities of Australia
L243,Playford,Adelaide - North,SA,Major Cities of Australia
L244,Cobar,Far West and Orana,NSW,Very Remote Australia
L245,Ararat,North West,Vic,Outer Regional Australia
L246,Adelaide Hills,Adelaide - Central and Hills,SA,Inner Regional Australia
L247,Bega Valley,Capital Region,NSW,Outer Regional Australia
L248,Tea Tree Gully,Adelaide - North,SA,Major Cities of Australia
L249,Kiama,Illawarra,NSW,Inner Regional Australia
L250,Moyne,Warrnambool and South West,Vic,Outer Regional Australia
