date_id,day_of_week,month_name,year
D315,Thursday,6,2022
D316,Tuesday,6,2022
D317,Wednesday,6,2022
D318,Friday,5,2022
D319,Monday,5,2022
D320,Saturday,5,2022
D321,Sunday,5,2022
D322,Thursday,5,2022
D323,Tuesday,5,2022
D324,Wednesday,5,2022
D325,Friday,4,2022
D326,Monday,4,2022
D327,Saturday,4,2022
D328,Sunday,4,2022
D329,Thursday,4,2022
D330,Tuesday,4,2022
D331,Wednesday,4,2022
D332,Friday,3,2022
D333,Monday,3,2022
D334,Saturday,3,2022
D335,Sunday,3,2022
D336,Thursday,3,2022
D337,Tuesday,3,2022
D338,Wednesday,3,2022
D339,Friday,2,2022
D340,Monday,2,2022
D341,Saturday,2,2022
D342,Sunday,2,2022
D343,Thursday,2,2022
D344,Tuesday,2,2022
D345,Wednesday,2,2022
D346,Friday,1,2022
D347,Monday,1,2022
D348,Saturday,1,2022
D349,Sunday,1,2022
D350,Thursday,1,2022
D351,Tuesday,1,2022
D352,Wednesday,1,2022
D353,Friday,12,2021
D354,Monday,12,2021
D355,Saturday,12,2021
D356,Sunday,12,2021
D357,Thursday,12,2021
D358,Tuesday,12,2021
D359,Wednesday,12,2021
D360,Friday,11,2021
D361,Monday,11,2021
D362,Saturday,11,2021
D363,Sunday,11,2021
D364,Thursday,11,2021
D365,Tuesday,11,2021
D366,Wednesday,11,2021
D367,Friday,10,2021
D368,Monday,10,2021
D369,Saturday,10,2021
D370,Sunday,10,2021
D371,Thursday,10,2021
D372,Tuesday,10,2021
D373,Wednesday,10,2021
D374,Friday,9,2021
D375,Monday,9,2021
D376,Saturday,9,2021
D377,Sunday,9,2021
D378,Thursday,9,2021
D379,Tuesday,9,2021
D380,Wednesday,9,2021
D381,Friday,8,2021
D382,Monday,8,2021
D383,Saturday,8,2021
D384,Sunday,8,2021
D385,Thursday,8,2021
D386,Tuesday,8,2021
D387,Wednesday,8,2021
D388,Friday,7,2021
D389,Monday,7,2021
D390,Saturday,7,2021
D391,Sunday,7,2021
D392,Thursday,7,2021
D393,Tuesday,7,2021
D394,Wednesday,7,2021
D395,Friday,6,2021
D396,Monday,6,2021
D397,Saturday,6,2021
D398,Sunday,6,2021
D399,Thursday,6,2021
D400,Tuesday,6,2021
D401,Wednesday,6,2021
D402,Friday,5,2021
D403,Monday,5,2021
D404,Saturday,5,2021
D405,Sunday,5,2021
D406,Thursday,5,2021
D407,Tuesday,5,2021
D408,Wednesday,5,2021
D409,Friday,4,2021
D410,Monday,4,2021
D411,Saturday,4,2021
D412,Sunday,4,2021
D413,Thursday,4,2021
D414,Tuesday,4,2021
D415,Wednesday,4,2021
